FIPS,expected population,net migrants,migration rate
12059,18431,1465,71.6
12061,108574,29289,316.7999999999999
12063,47299,2676,59.3
12065,13016,1802,130.7
12067,7334,1600,313.7
12069,208515,88501,537.9
12071,446373,173157,527.3
12073,255991,20349,222.6
12075,34149,6579,224.1
12077,7456,959,213.6
12079,19091,236,-13.000000000000002
12081,266231,56777,257.1
12083,252571,78559,306.0
12085,122130,24025,259.0
12086,2427396,107390,70.8
12087,80002,-6787,-42.7
12089,59400,13691,256.2
12091,182108,-1199,-11.4
12093,37567,2638,82.6
12095,991419,163213,239.0
12097,192932,78309,540.5
12099,1143971,180856,204.5
12101,334985,129283,570.8000000000002
12103,891232,24148,41.3
12105,503745,100256,238.7
12107,71040,3368,58.69999999999999
12109,125887,63656,687.3
12111,196730,81925,568.4
12113,124241,26969,295.4000000000001
12115,304880,73296,279.6
12117,384723,38900,150.0
12119,49931,43255,350.5
12121,34985,6576,195.6
12123,19635,3022,172.60000000000005
12125,13336,2306,182.5
12127,431274,63109,167.9
12129,23788,7062,430.9
12131,41669,13318,431.00000000000006
12133,20854,4082,274.6
13001,18154,115,-7.099999999999998
13003,8652,-224,-35.8
13005,10345,759,72.39999999999998
13007,4065,-601,-143.3
13009,46573,-627,32.499999999999964
13011,15190,3155,259.40000000000003
13013,52594,16899,420.6
13015,83567,16640,244.3
13017,18617,-918,-83.4
13019,17147,2114,134.39999999999998
13021,164372,-7841,-63.1
13023,11987,1062,102.29999999999997
13025,14633,3716,354.2
13027,16453,-165,-22.800000000000008
13029,26000,4226,223.7
13031,59543,10834,409.6
13033,23632,-199,-28.5
13035,20953,2792,142.9
13037,6638,152,13.2
13039,49613,1011,-11.7
13043,10113,912,100.9
13045,95579,15128,200.2
13047,55618,8118,179.50000000000009
13049,10755,1480,139.7
13051,249292,17309,98.5
13053,16788,-5440,-307.2999999999999
13055,25861,181,6.1000000000000005
13057,162959,51488,414.29999999999984
13059,110650,6628,432.6
13061,3445,-251,-96.79999999999997
13063,271527,-8500,-14.4
13065,7259,-452,-95.0
13067,682613,8853,41.5
13069,40624,1954,44.2
13071,45229,523,12.3
13073,96947,27155,404.9
13075,16608,644,39.8
13077,98875,28630,360.7
13079,12721,-98,-10.400000000000002
13081,23141,390,-7.800000000000003
13083,15334,1217,93.8
13085,17367,4879,307.4
13087,29470,-1492,-77.6
13089,745266,-46245,-44.0
13091,19658,2203,130.0
13093,12183,2866,234.0
13095,104489,-9092,-102.9
13097,102680,30530,407.1
13099,12697,-1641,-164.79999999999995
13101,3802,256,329.7999999999999
13103,40806,11434,379.0
13105,20879,-678,-72.0
13107,22666,11,-10.500000000000004
13109,11316,-256,-68.2
13111,19410,4139,193.90000000000003
13113,94109,12425,276.2
13115,94299,2146,19.4
13117,113412,62115,739.5999999999998
13119,20668,1362,60.6
13121,901726,25945,67.7
13123,24715,3505,116.1
13125,2494,566,306.8
13127,70859,8931,156.1
13129,48170,7074,180.3
13131,25151,-37,-8.300000000000011
13133,14751,1286,10.999999999999995
13135,687323,124039,263.20000000000005
13137,38320,4692,138.3
13139,158987,21675,157.0
13141,10312,-760,-144.1
13143,26429,2260,100.2
13145,24493,7490,426.9
13147,22785,2419,113.59999999999998
13149,11196,609,71.3
13151,136731,68119,661.8
13153,121227,19191,211.9
13155,10043,-490,-51.7
13157,46012,14439,380.8
13159,11979,1922,216.5
13161,13480,1608,138.3
13163,17972,-932,-91.9
13165,8946,-579,-107.3
13167,8664,1370,264.5
13169,24169,4509,275.70000000000005
13171,16260,2064,142.9
13173,7564,2538,405.9
13175,47176,1397,23.800000000000004
13177,26662,1652,115.3
13179,73550,-9510,-136.6
13181,8272,-275,-57.59999999999998
13183,11269,3274,377.7000000000001
13185,102106,7681,106.4
13187,21885,7983,433.6
13189,22220,-276,-37.1
13191,11200,3143,272.2
13193,14512,392,37.4
13195,26680,1383,53.50000000000001
13197,7387,1370,172.1
13199,22999,-953,-74.89999999999998
13201,6401,-273,-71.9
13205,25079,-1386,-78.60000000000002
13207,22236,4195,200.2
13209,8630,511,62.8
13211,16119,1746,106.9
13213,39582,36,-8.6
13215,200986,-9777,-64.19999999999999
13217,70418,30026,557.3000000000002
13219,27740,4976,268.79999999999995
13221,12839,2047,224.00000000000003
13223,93977,48577,662.7
13225,25835,2006,116.1
13227,23865,5441,250.1
13229,16444,2280,159.6
13231,14347,3473,304.0
13233,40952,615,11.6
13235,9769,2230,207.9
13237,19516,1732,89.30000000000003
13239,2618,-97,-75.2
13241,15000,1218,78.6
13243,7867,-110,-74.8
13245,214592,-12446,-73.90000000000002
13247,76049,9737,192.70000000000005
13249,3887,1114,356.2
13251,15737,-1094,-95.79999999999998
13253,9533,-804,-150.4
13255,61775,2514,29.1
13257,25621,492,-4.099999999999996
13259,5158,983,314.30000000000007
13261,35159,-2115,-85.19999999999997
13263,6482,409,43.89999999999999
13265,2031,-306,-206.6
13267,23559,2211,108.0
13269,8918,10,-20.700000000000006
13271,11911,4745,451.4
13273,11450,-2064,-231.00000000000003
13275,44907,-50,-18.900000000000006
13277,41610,-1328,-47.8
13279,27906,-589,-39.6
13281,8770,1624,206.5
13283,7036,-140,-33.50000000000001
13285,62308,4943,89.2
13287,9955,-988,-164.5
13289,10717,-1675,-238.79999999999995
13291,16431,4800,236.8
13293,27473,-293,-34.29999999999999
13295,61735,6816,120.6
13297,66537,17214,289.1
13299,36358,81,-13.2
13301,6391,-525,-144.4
13303,21541,-193,-29.8
13305,28171,2021,83.8
13307,2375,424,254.2
13309,6357,1134,244.5
13311,20470,6556,344.4
13313,94627,8596,120.3
13315,8699,633,62.90000000000001
13317,10649,-18,-24.2
13319,10740,-1150,-156.69999999999996
13321,22471,-779,-30.9
15001,158726,26535,215.4
15003,943500,11855,24.0
15007,61915,5213,125.5
15009,138349,16635,167.60000000000005
16001,333030,59092,206.5
16003,3431,516,344.99999999999994
16005,84197,-1338,-23.4
16007,6561,-600,-81.5
16009,9306,-44,-23.7
16011,46815,-1038,-6.599999999999994
16013,21002,402,65.89999999999999
16015,6800,182,105.2
16017,37362,3327,133.5
16019,93680,10668,145.9
16021,10212,715,82.19999999999997
16023,2993,-119,-10.999999999999993
16025,1039,66,209.2
16027,152257,37449,290.2000000000001
16029,7638,-692,-96.4
